Date,Open,High,Low,Close,Adj Close,Volume
2017-06-13,3.515600,3.530010,3.510540,3.515700,3.515700,0
2017-06-14,3.517410,3.521050,3.480300,3.517340,3.517340,0
2017-06-15,3.486950,3.524340,3.483650,3.488650,3.488650,0
2017-06-16,3.512630,3.530570,3.504400,3.513000,3.513000,0
2017-06-19,3.500620,3.522510,3.488300,3.500500,3.500500,0
2017-06-20,3.522500,3.549460,3.513500,3.522200,3.522200,0
2017-06-21,3.544600,3.548100,3.523700,3.543800,3.543800,0
2017-06-22,3.530060,3.531600,3.509300,3.530600,3.530600,0
2017-06-23,3.512500,3.514590,3.496500,3.512900,3.512900,0
2017-06-26,3.505700,3.511190,3.490200,3.505160,3.505160,0
2017-06-27,3.500200,3.519490,3.490200,3.500050,3.500050,0
2017-06-28,3.523300,3.537440,3.512300,3.523800,3.523800,0
2017-06-29,3.511060,3.527250,3.501030,3.511700,3.511700,0
2017-06-30,3.524200,3.532690,3.508700,3.524230,3.524230,0
2017-07-03,3.519510,3.565760,3.514730,3.519300,3.519300,0
2017-07-04,3.554120,3.568150,3.545500,3.554600,3.554600,0
2017-07-05,3.557700,3.614300,3.552100,3.557700,3.557700,0
2017-07-06,3.606800,3.638480,3.603400,3.607300,3.607300,0
2017-07-07,3.621400,3.645890,3.613690,3.620990,3.620990,0
2017-07-10,3.620000,3.621220,3.600000,3.620100,3.620100,0
2017-07-11,null,null,null,null,null,null
2017-07-12,3.615300,3.622420,3.563900,3.615600,3.615600,0
2017-07-13,3.569400,3.576440,3.559000,3.569220,3.569220,0
2017-07-14,3.565700,3.570820,3.531400,3.565990,3.565990,0
2017-07-17,3.535900,3.550580,3.524400,3.533500,3.533500,0
2017-07-18,3.529390,3.535600,3.519300,3.528800,3.528800,0
2017-07-19,3.524350,3.539450,3.514000,3.524310,3.524310,0
2017-07-20,3.522300,3.543800,3.518700,3.521200,3.521200,0
2017-07-21,3.527200,3.539930,3.522600,3.526800,3.526800,0
2017-07-24,3.531700,3.566580,3.525620,3.531500,3.531500,0
2017-07-25,3.555930,3.566880,3.550400,3.555940,3.555940,0
2017-07-26,3.571100,3.573040,3.544800,3.571100,3.571100,0
2017-07-27,3.533410,3.538350,3.521600,3.534250,3.534250,0
2017-07-28,3.536300,3.540150,3.526800,3.536520,3.536520,0
2017-07-31,3.532590,3.534700,3.516700,3.532300,3.532300,0
2017-08-01,3.517400,3.527470,3.512000,3.517700,3.517700,0
2017-08-02,3.528990,3.540220,3.524900,3.528500,3.528500,0
2017-08-03,3.538890,3.547560,3.532600,3.537760,3.537760,0
2017-08-04,3.538800,3.542670,3.528600,3.539300,3.539300,0
2017-08-07,3.531300,3.536890,3.522900,3.532350,3.532350,0
2017-08-08,3.528060,3.533430,3.525600,3.528660,3.528660,0
2017-08-09,3.530440,3.549030,3.530000,3.530290,3.530290,0
2017-08-10,3.538400,3.544410,3.527100,3.538660,3.538660,0
2017-08-11,3.542840,3.558420,3.533500,3.542200,3.542200,0
2017-08-14,3.533500,3.533600,3.518900,3.533500,3.533500,0
2017-08-15,3.525430,3.545860,3.520200,3.525300,3.525300,0
2017-08-16,3.536100,3.538700,3.521200,3.536300,3.536300,0
